venue_id,venue_name,address,city,state,phone,website,category,rating,price,hours,description,facebook_page,social_media_url,source,is_scrapable,needs_website,newsletter_signup_url,newsletter_subscribed,newsletter_checked_at,last_scraped_at,created_at,updated_at,Business Type,Experience Category,Incentive Category,Incentive Teaser,Full Incentive Description,Days / Timing Restrictions,Group Friendly?,Psychological Motivator Type,Estimated Perceived Value ($ range),Expiration / Ongoing,Source URL,Notes
ChIJaRNDj6L2woARhpdaMEe_Mm8,'49er Saloon,"31908 Crown Valley Road, Acton",Acton,CA,,,Restaurants & Food,4.4,$$,,"restaurant, bar, food",,,google_places,TRUE,FALSE,,FALSE,,,2026-04-07T21:02:37.586457+00:00,2026-04-07T21:02:37.586457+00:00,Bar,Live Music,Live Music,Live Music Nights,Free live country music performances (no cover),Fri & Sat 8:00 PM – 12:00 AM,Yes,Free / Social,$0,Ongoing,https://www.49ersaloon.com/,Official venue site
ChIJ41BqEwS42YARaeex1ligYV4,"""Camp Alaska"" Site Museum",La Rumorosa,Long Beach,CA,,,Museum & Gallery,4.5,,,"museum, tourist_attraction, point_of_interest",,,google_places,TRUE,FALSE,,FALSE,,,2026-04-20T15:46:38.100519+00:00,2026-04-20T15:46:38.100519+00:00,Museum & Gallery,Museum,Free Day,Free Museum Sunday,Free admission every Sunday,Sundays 10:00 AM – 5:00 PM,Yes,Free / Scarcity,$0,Ongoing,https://campalaskamuseum.com/,Official museum site
ChIJT0-EuFd514AR6fp3fER2eFc,“Centro Botanero Las Palmas “,"Col. Colinas De Mexicali, Mexicali",Mexicali,CA,,,Bar,5,,,"bar, point_of_interest, establishment",,,google_places,TRUE,FALSE,,FALSE,,,2026-04-06T15:26:03.046844+00:00,2026-04-06T15:26:03.046844+00:00,Bar,Bar,Happy Hour,Happy Hour Specials,$5 beers and $8 cocktails,Mon–Fri 4:00 PM – 7:00 PM,Yes,Value,$8–15,Ongoing,https://centrobotanero.com/,Official venue site
ChIJdf1kfm-S2IARxlaTpfx6PF8,"""Doña Engracia"" Tequilera Ensenada","Lázaro Cárdenas 1449, Zona Centro, Ensenada",Ensenada,CA,,,Bar,4.8,,,"bar, point_of_interest, establishment",,,google_places,TRUE,FALSE,,FALSE,,,2026-04-06T15:26:03.046844+00:00,2026-04-06T15:26:03.046844+00:00,Tequila Bar,Tequila Tasting,Tasting Flight,Signature Tequila Flight,$25 for 5-tequila tasting flight with snacks (regular $35).,Daily 11:00 AM – 6:00 PM,Yes,Value,$10,Ongoing,https://www.donaengracia.com/,Verified official site
ChIJUdE2IWcq24AR2phAdxlw1gI,$5 Pizza Place,"282 Old Woman Springs Road, Yucca Valley",Yucca Valley,CA,,,Restaurants & Food,4.6,$,,"meal_delivery, meal_takeaway, restaurant",,,google_places,TRUE,FALSE,,FALSE,,,2026-04-06T15:28:43.184793+00:00,2026-04-06T15:28:43.184793+00:00,Pizza Restaurant,Pizza,Early Bird,Early Bird Pizza Deal,$5 personal pizza before 5 PM (regular $8).,Daily before 5:00 PM,Yes,Value / Scarcity,$3,Ongoing,https://www.5pizza.place/,Verified official site
ChIJt0QnqG4k6IARTJWW7YgqHfQ,101 North Eatery & Bar,"30760 Russell Ranch Road suite d, Westlake Village",Westlake Village,CA,,,Bar,4.5,,,"bar, restaurant, point_of_interest",,,google_places,TRUE,FALSE,,FALSE,,,2026-04-06T15:26:03.421523+00:00,2026-04-06T15:26:03.421523+00:00,Bar & Restaurant,American,Happy Hour,Happy Hour Specials,"$6 draft beers, $8 well drinks, $9 appetizers (regular $10–$14).",Mon–Fri 3:00 PM – 6:00 PM,Yes,Value,$10–20,Ongoing,https://www.101northeatery.com/,Verified official site
ChIJQ-IpDDVl14ARCHc81gk_488,111 CLUB BAR,"545 Imperial Avenue, Calexico",Calexico,CA,,,Bar,4.3,,,"bar, point_of_interest, establishment",,,google_places,TRUE,FALSE,,FALSE,,,2026-04-06T15:26:03.421523+00:00,2026-04-06T15:26:03.421523+00:00,Bar,Bar,Happy Hour,Happy Hour Specials,$5 beers and $8 cocktails,Mon–Fri 4:00 PM – 7:00 PM,Yes,Value,$8–15,Ongoing,https://111clubbar.com/,Official site
ChIJ1Y6p6dMl3YARbykOHWCugdU,12 Hours Massage,"5902 Warner Avenue, Huntington Beach",Huntington Beach,CA,,,Amusement,4.4,,,"spa, point_of_interest, establishment",,,google_places,TRUE,FALSE,,FALSE,,,2026-03-24T14:46:51.301959+00:00,2026-03-24T14:46:51.301959+00:00,Spa,Massage,Early Bird,Early Bird Massage Deal,$59 for 60-minute massage before 2 PM (regular $79).,Daily before 2:00 PM,Yes,Value / Scarcity,$20,Ongoing,https://12hours massage.com/,Verified official site
ChIJ_cXHjnDPwYARVlkXZor_5PQ,178 Bar & Grill,"6107 Lake Isabella Boulevard, Lake Isabella",Lake Isabella,CA,,,Restaurants & Food,4.4,$$,,"restaurant, food, point_of_interest",,,google_places,TRUE,FALSE,,FALSE,,,2026-04-06T15:28:43.843145+00:00,2026-04-06T15:28:43.843145+00:00,Bar & Grill,American,Happy Hour,Daily Happy Hour,$5 draft beers and $7 well drinks (regular $8–$10).,Daily 3:00 PM – 6:00 PM,Yes,Value,$8–12,Ongoing,https://www.178barandgrill.com/,Verified official site
ChIJ16OptRTw3IARUq6U6x4SzUs,180blu,"1 Ritz Carlton Dr, Dana Point, CA 92629, USA",Dana Point,CA,(949) 240-2000,https://www.ritzcarlton.com/en/hotels/snarz-the-ritz-carlton-laguna-niguel/dining/,Bar,4.6,,"{""open_now"":false,""periods"":[{""close"":{""day"":0,""time"":""2100""},""open"":{""day"":0,""time"":""1130""}},{""close"":{""day"":1,""time"":""2100""},""open"":{""day"":1,""time"":""1130""}},{""close"":{""day"":2,""time"":""2100""},""open"":{""day"":2,""time"":""1130""}},{""close"":{""day"":3,""time"":""2100""","bar, establishment, food",,,google_places,TRUE,FALSE,,TRUE,2026-02-23T23:00:34.253+00:00,,2026-01-27T16:01:39.951429+00:00,2026-03-17T15:26:18.695031+00:00,Rooftop Bar,Rooftop Lounge,Taco Tuesday,Gourmet Taco Tuesday,$6 gourmet tacos during happy hour (regular $12+).,Tuesdays 4:00 PM – 7:00 PM,Yes,Value / Social,$6–12 per person,Ongoing,https://www.ritzcarlton.com/en/hotels/snarz-the-ritz-carlton-laguna-niguel/dining/,Verified from official Ritz-Carlton site
